
PackageName                                                 EstimatedNameOrStatus                                      
-----------                                                 ---------------------                                      
com.amazon.mShop.android.shopping                           App_(com.amazon.mShop.android.shopping)                    
com.google.android.youtube                                  App_(com.google.android.youtube)                           
com.kouzoh.mercari                                          App_(com.kouzoh.mercari)                                   
com.google.android.apps.labs.language.tailwind              App_(com.google.android.apps.labs.language.tailwind)       
com.sec.android.app.ve.vebgm                                App_Link_OK                                                
com.mojitec.mojidict                                        App_(com.mojitec.mojidict)                                 
com.camerasideas.instashot                                  App_(com.camerasideas.instashot)                           
com.google.android.googlequicksearchbox                     App_(com.google.android.googlequicksearchbox)              
jp.japanpost.jp_bank.FIDOapp                                App_(jp.japanpost.jp_bank.FIDOapp)                         
in.krosbits.musicolet                                       App_(in.krosbits.musicolet)                                
org.telegram.messenger                                      App_(org.telegram.messenger)                               
com.google.android.apps.docs.editors.docs                   App_(com.google.android.apps.docs.editors.docs)            
com.ichi2.anki                                              App_(com.ichi2.anki)                                       
com.shazam.android                                          App_(com.shazam.android)                                   
com.github.anrimian.musicplayer                             App_(com.github.anrimian.musicplayer)                      
com.indeed.android.jobsearch                                App_(com.indeed.android.jobsearch)                         
app.revanced.android.youtube                                App_(app.revanced.android.youtube)                         
com.thrremote.guitar.yamaha                                 App_(com.thrremote.guitar.yamaha)                          
com.whatsapp                                                App_(com.whatsapp)                                         
com.videoplayer.arcplayer                                   App_(com.videoplayer.arcplayer)                            
org.chromium.webapk.a0449826e30bf4b52_v2                    App_(org.chromium.webapk.a0449826e30bf4b52_v2)             
jp.naver.line.android                                       App_(jp.naver.line.android)                                
jp.co.mizuhobank.banking                                    App_(jp.co.mizuhobank.banking)                             
com.google.android.apps.docs.editors.sheets                 App_(com.google.android.apps.docs.editors.sheets)          
com.samsung.aimodelprovider.reflectionremovalmodels         App_(com.samsung.aimodelprovider.reflectionremovalmodels)  
com.myzone.myzoneble                                        App_(com.myzone.myzoneble)                                 
com.google.android.apps.authenticator2                      App_(com.google.android.apps.authenticator2)               
com.smartisan.notes                                         App_(com.smartisan.notes)                                  
com.sec.android.easyMover.Agent                             App_Link_OK                                                
org.mytonwallet.app                                         App_(org.mytonwallet.app)                                  
com.nttdocomo.android.dpoint                                App_(com.nttdocomo.android.dpoint)                         
com.discord                                                 App_(com.discord)                                          
com.biccamera.android.mobile                                App_(com.biccamera.android.mobile)                         
com.tencent.mm.wxa.sce                                      App_Link_OK                                                
com.sec.android.app.voicenote                               App_(com.sec.android.app.voicenote)                        
com.envelopedevelopment.loopz                               App_(com.envelopedevelopment.loopz)                        
com.freevpnplanet                                           App_(com.freevpnplanet)                                    
org.schabi.newpipe                                          App_(org.schabi.newpipe)                                   
com.github.android                                          App_(com.github.android)                                   
com.samsung.SMT.lang_en_gb_l02                              App_(com.samsung.SMT.lang_en_gb_l02)                       
com.google.ar.lens                                          App_(com.google.ar.lens)                                   
org.chromium.webapk.a91fefe3ad48e033a_v2                    App_(org.chromium.webapk.a91fefe3ad48e033a_v2)             
com.tencent.mm                                              App_(com.tencent.mm)                                       
com.gzhi.neatreader.r2.main                                 App_(com.gzhi.neatreader.r2.main)                          
com.psma.audioextractor                                     App_(com.psma.audioextractor)                              
com.nttdocomo.keitai.payment                                App_(com.nttdocomo.keitai.payment)                         
com.samsung.android.app.watchmanager                        App_(com.samsung.android.app.watchmanager)                 
com.reddit.frontpage                                        App_(com.reddit.frontpage)                                 
me.piebridge.brevent                                        App_(me.piebridge.brevent)                                 
org.maintainteam.hypatia                                    App_(org.maintainteam.hypatia)                             
jp.co.jcb.my                                                App_(jp.co.jcb.my)                                         
jp.co.sevenbank.appMysevenbank                              App_(jp.co.sevenbank.appMysevenbank)                       
com.instagram.android                                       App_(com.instagram.android)                                
app.revanced.manager.flutter                                App_(app.revanced.manager.flutter)                         
net.chordify.chordify                                       App_(net.chordify.chordify)                                
com.google.android.gm                                       App_(com.google.android.gm)                                
com.deniscerri.ytdl                                         App_(com.deniscerri.ytdl)                                  
com.google.android.apps.tachyon                             App_(com.google.android.apps.tachyon)                      
com.appmind.radios.jp                                       App_(com.appmind.radios.jp)                                
com.metrolist.music                                         App_(com.metrolist.music)                                  
org.readera                                                 App_(org.readera)                                          
jp.co.softbank.OfficialApp                                  App_(jp.co.softbank.OfficialApp)                           
com.cybercat.acbridge                                       App_(com.cybercat.acbridge)                                
jp.co.yahoo.android.yshopping                               App_(jp.co.yahoo.android.yshopping)                        
com.instagram.barcelona                                     App_(com.instagram.barcelona)                              
com.google.audio.hearing.visualization.accessibility.scribe App_(com.google.audio.hearing.visualization.accessibilit...
com.wallet.crypto.trustapp                                  App_(com.wallet.crypto.trustapp)                           
com.samsung.android.app.simplesharing                       App_Link_OK                                                
com.bilibili.app.in                                         App_(com.bilibili.app.in)                                  
com.samsung.aimodelprovider.shadowremovalmodels             App_(com.samsung.aimodelprovider.shadowremovalmodels)      
com.tcl.xrmanager.main                                      App_(com.tcl.xrmanager.main)                               
com.twitter.android                                         App_(com.twitter.android)                                  
rk.android.app.shortcutmaker                                App_(rk.android.app.shortcutmaker)                         
com.samsung.android.app.networkstoragemanager               App_(com.samsung.android.app.networkstoragemanager)        
mobi.abcmart.app                                            App_(mobi.abcmart.app)                                     
com.google.android.apps.bard                                App_(com.google.android.apps.bard)                         
com.google.android.apps.maps                                App_(com.google.android.apps.maps)                         
com.Project100Pi.themusicplayer                             App_(com.Project100Pi.themusicplayer)                      
com.samsung.aimodelprovider.objectremovalmodels             App_(com.samsung.aimodelprovider.objectremovalmodels)      
world.letsgo.booster.android.pro                            App_(world.letsgo.booster.android.pro)                     
com.google.android.syncadapters.contacts                    App_Link_OK                                                
jp.go.nict.voicetra                                         App_(jp.go.nict.voicetra)                                  
com.samsung.android.ardrawing                               App_(com.samsung.android.ardrawing)                        
com.google.android.calculator                               App_(com.google.android.calculator)                        
com.android.chrome                                          App_(com.android.chrome)                                   
com.ovelin.guitartuna                                       App_(com.ovelin.guitartuna)                                
app.revanced.android.gms                                    App_(app.revanced.android.gms)                             
jp.japanpost.jp_bank.bankbookapp                            App_(jp.japanpost.jp_bank.bankbookapp)                     
com.vincentlee.compass                                      App_(com.vincentlee.compass)                               
com.samsung.android.app.ledbackcover                        App_Link_OK                                                
jp.ne.sakura.ccice.audipo                                   App_(jp.ne.sakura.ccice.audipo)                            
ai.x.grok                                                   App_(ai.x.grok)                                            
com.sec.android.mimage.photoretouching                      App_(com.sec.android.mimage.photoretouching)               
com.google.android.syncadapters.calendar                    App_Link_OK                                                
jp.ne.paypay.android.app                                    App_(jp.ne.paypay.android.app)                             
com.smp.musicspeed                                          App_(com.smp.musicspeed)                                   
com.x8bit.bitwarden                                         App_(com.x8bit.bitwarden)                                  
com.myrapps.eartraining                                     App_(com.myrapps.eartraining)                              
com.samsung.android.bixbyvision.framework                   App_(com.samsung.android.bixbyvision.framework)            
com.qianyan.eudic                                           App_(com.qianyan.eudic)                                    
